String ,Count
computer science class xii,14
unit,14
communication and network conccept page,14
network,11
computer network,3
advantages,1
networking,3
resource,1
reliability,2
backup,1
different machines,1
hardware crash,1
factor –cost,1
communication medium,1
disadvantages,1
deploy computer virus,1
difficult,2
evolution,1
arpanet,3
advanced,1
projects,1
us govt,1
various universities,1
defense agencies,1
main objective,1
nuclear attack,1
internet,20
interconnection network,1
worldwide network,1
computer networks,3
interspace,1
client/server software program,1
multiple users,1
communicate online,1
real – time audio,1
dynamic 3d environments,1
switchingtechniques,1
switching,2
different,2
complete end-to-end transmission path,1
destination computers,1
main advantage,1
voice communication,1
packet switching,1
tcp,4
large message,2
size limits,2
ip,10
different routes,2
alternate route,2
protocol re-assembles,2
complete message,2
communication,10
transmission,2
guided,2
wireless,4
unguided,2
bandwidth,3
analog signal,1
hz,1
khz,1
mhz data,1
dtr,1
digital form,2
data,3
bps bits,1
bps,1
kbps,2
kilo bytes,1
mbps,2
gbps,4
giga bits,1
giga bytes,1
tbps,2
tera bits,1
tera bytes,1
wired media,1
twisted,1
pair cable,2
co-axial cables optical,1
mm thick copper wires,1
pair cables,4
electromagnetic induction,1
solid wire core,1
wire shields,1
plastic insulator,1
cable wires,1
optical fiber,1
thin glass fibers,1
visible light,1
inexpensive expensive,1
expensive,3
easy,2
need,1
special care,1
attenuation,3
long distances,2
transmission rate,1
carries,1
transmit,1
high security,1
low bandwidth,1
broadband applications,1
moderate,1
cheap means,1
multi-channel television signals,1
metropolitan areas,1
transmission speed,1
low,1
noise immunity,2
susceptible,5
electromagnetic interference,3
less susceptible,1
immune,1
light rays,1
electrical noise,1
ethernet,5
cat,1
local area network,3
delivers data transmission rate,1
orange,1
brown,1
voip,3
poc,1
push,1
talk,1
cellular,1
wireless media,2
infrared wave transmission,1
wave transmission micro wave transmission satellite link short,1
infrared,6
approx,1
long range,3
radio waves,7
entire city,1
communication microwave,1
signals travel,1
satellite,2
relay station,1
redirects signals,1
sight propagation,3
obstacle inbetween,1
omnidirectional,1
microwaves,1
antennas need,1
microwave signals,1
earth stations,1
entire surface,1
penetrate,3
objects,4
penetrates,1
radio receivers,1
outdoor communication,1
high towers,1
microwave antennas,1
signals,3
solid material,1
solid building structures,1
inexpensive,2
wireless communication technology,1
communication radio waves,1
economical way,2
regular intervals,1
towers,1
placing,1
orbit involves,1
high cost,1
installation,2
satellite communication,1
secure,1
insecure,3
radio wave communication,1
insecure communication,2
microwave,3
multiple,1
voice channels,1
necessary security measures,1
modem,1
modulator demodulator,1
electronic device,2
converts digital signals,1
analog signals,1
telephone lines,1
modulation,1
modem performs,1
reverse function,1
converts analog signal,1
demodulation,1
long distance,1
rj-45,1
registered jack,1
lan,4
network adapter,1
network interface card,1
nic,1
adapters support,1
network connections,2
ethernet card,1
contains connections,1
fiber optic cable,1
switch/hub,1
individual computers,2
nics,1
switch,1
intelligent hub redirects,1
hub,2
repeater,1
data signal,1
repeater regenerates,1
difficult terrains,6
natural mountains,1
tall building,1
towers etc,1
weather conditions susceptible,1
weather,2
radio wave propagation,1
thunder storms etc,2
weather transmission,1
weather conditions,1
thunderstorm etc,1
uses,4
tv remotes,1
cordless,2
intrusion,1
automotive garage doors,1
wireless speakers etc,1
fm,1
radio broadcast,1
garage,1
door openers etc,1
long distance telephonic communications,1
communicate,1
router,1
network device,1
similar networks,1
different architectures,1
token ring,1
transform information,1
data format,1
tcp/ip,8
ipx/spx,1
dissimilar networks,1
necessary translation,1
different network data formats,1
network architectures,1
appletalk,1
apple,1
brand computers,1
wi-fi,11
portable cards,1
wireless network,1
cell phones,1
devices need,1
wireless internet connection,1
login screen,1
usb,2
antenna attachment,1
mobile devices,1
network topologies,1
geometrical arrangement,1
flexibility,1
fault,3
detection etc,1
bus topology,3
topology tree topology,1
main cable,1
signal travels,1
entire length,1
small device,1
signal interference,1
star topology,3
tree,2
star topologies,1
multiple star topology networks,1
bus-star hybrid approach supports future expandability,1
characteristics,3
bus,2
linear,1
additional,2
bus network,1
backbone cable ,1
requires,2
cable length,2
drop cables,1
main backbone cable,1
backbone,1
terminator fault,1
entire network,2
star network,1
central hub/switch ,1
central hub/switch,1
node involves,1
functional network,1
switch fault,1
easy way,1
network expansion ,1
network types,1
pan,3
personal,1
local area,1
man,2
metropolitan area,1
wan,1
spread,5
meters radius,1
kilometres radius,2
kilometres radius cover,1
set,4
bluetooth,1
utp,1
co-axial,1
cables etc,1
wlan,2
owned,3
government body,1
large corporation,1
wans,2
lans,4
mans,1
examples,5
phone,1
mp3/mp4 player,1
camera etc,1
transferring,2
cell phone,1
pc,1
mp3,1
office building,1
computer lab.,1
government offices etc,1
atms,1
banks,1
national government,1
offices,2
organizations,2
network protocol,2
special set,1
important protocols,1
protocol,3
internet protocol,2
two-layer protocol,1
ftp,3
file transfer protocol,2
standard network protocol,1
computer files,1
client–server,1
computer programs and/or data,1
implicit use,1
remote computers,2
file storage systems,1
different hosts,1
ppp,4
point-to-point protocol,2
data link protocol,1
direct connection,1
encapsulation protocol,1
point-to-point links,1
physical networks,1
serial cable,1
phone line,1
trunk line,1
cellular telephone,1
radio links,1
fibre optic links etc,1
electronic,2
simple,4
transfer,1
smtp,6
transfer protocol,2
e-mail messages,1
e-mail systems,1
e-mail client,1
pop,2
imap,2
e-mail application,1
esmtp,1
extended simple,1
specifies extensions,1
supports graphics,1
video files,2
various national languages,1
mime,1
multi-purpose internet,1
extensions,1
e-mail protocol,1
lets people,1
different kinds,1
data files,1
application programs,1
ascii,1
original protocol,1
transport protocol,1
post office,1
protocol version,1
pop3,3
client/server protocol,1
remote e-mail boxes,1
appropriate user folders,1
user connects,1
mail server,1
user 's,2
hard disk,1
remote access protocol,1
telnet,2
telnet client,1
remote computer,1
telnet server,1
main internet protocol,1
remote machine,1
remote hosts,1
telnet client establishes,1
remote host,2
virtual terminal,1
specific application,1
host computer,1
wireless/mobile communication,1
gsm,5
global,2
mobile,5
mobile telephony system,1
europe,1
mobile networks,1
wireless services,1
packet,2
radio service,2
gprs,3
enhanced data rates,1
gsm evolution,1
edge,1
time division,2
multiple access,4
tdma,2
telephony technology,1
frequency channel,2
different time slots,1
users transmit,1
rapid succession,1
own time slot,1
radio frequency,2
mhz,2
different users,1
round robin fashion,1
cdma,3
code,2
multiple access technology,1
channel uses,1
full available spectrum,1
pseudo-random digital sequence,1
entire spectrum,1
user ’ s signal,1
entire bandwidth,1
receiver end,1
unique code,1
data communications,1
common platform,1
3g technologies,1
mobile data service,1
wll,2
local loop,4
wireless communications link,1
telephone service,1
pots,1
telecommunications customers,1
radio networks,1
remote areas,1
broadband wireless access,2
fixed,1
access,1
fixed wireless access,1
wireless broadband connection,1
telecom network,1
central office,1
co,1
user 's location,1
generations,1
 1g technology,1
mobile phones,2
analog radio signals,1
1980s  2g technology,1
2g technology,1
digital format,1
data services,1
sms,2
 3g technology,1
efficient ways,1
 4g technology,1
previous generations,1
mobile technology,2
internet access,3
high quality,1
data transmission,1
magic,1
anytime/anywhere,1
mobility support,1
integrated,1
wireless solution,1
customized,1
personal services,1
mobile processor,3
mobile computers,1
cpu,1
chip package,1
desktop counterpart,1
sleep mode,1
different power levels,1
clock frequency,1
low processor loads,1
conserves power,1
prolongs battery life,1
single,1
dual,1
quad,1
hexa,1
octa,1
processing speed,1
ghz,1
gpu,1
graphic processing,1
mobile processors,2
graphics picture,1
3d capability,1
virtual reality,1
qualcomm snapdragon,1
texas instruments omap,1
nvidia tegra,1
samsung hummingbird chat protocol,1
voip chatting,1
real time,1
informal communication,1
aol,1
messenger,1
campfire,1
internet messenger,1
msn messenger,1
textual conversation,1
voice,2
voice communications,1
multimedia sessions,1
broadband telephony,1
broadband phone service,1
communications services,1
telephone network,1
pstn,1
phone calls,1
convectional way,1
telecommunication,1
wi-fi wireless fidelity,1
local area networks,1
uses radio waves,1
access point,2
rf,2
electromagnetic field,1
computer utilizes,1
wireless adapter,1
wimax,3
worldwide interoperability,1
microwave access,1
wireless industry coalition,1
bwa,1
broadband wireless technologies,1
broadband access services,1
enterprise customers,1
concepts,1
security deals,1
network administrator,1
network resources,2
adequate access,1
virus worm trojan,1
malicious piece,1
host programs,1
gain control,1
owner's knowledge,1
uses security holes,1
new machine,1
host program,2
trojan,2
malicious functions,1
human interaction,2
independent object,1
tricks users,1
useful program,1
true nature,1
silly icons etc,1
entire memory,1
network traffic,1
confidential information,1
horses contact,1
central server,1
ids,1
external media,1
cds,1
internet sites,1
email attachments,1
spreads,1
address book,1
types,1
viruses,3
file virus,1
viruses infect,2
executable program files,1
extensions .com,1
.exe .sys,1
boot,2
sector virus,1
boot sector,2
master boot record,2
hard drive,3
sector viruses attach,1
computer boots,1
macro,1
infect document files,1
macro viruses,1
infect documents,1
support macros,2
microsoft,1
wordperfect,1
staroffice,1
autocad,1
common applications,1
virus attaches,1
common subroutines,1
spam,2
repetition,1
worthless text,1
people 's time,1
network bandwidth,1
cookies,1
user browses,1
web server sends,2
small text file,1
web browser,4
cookie contains,1
id,1
expiry date,1
firewall,1
network security system,1
inbound data,1
outbound traffic,1
network pass,1
security criteria,1
firewalls,1
internet users,1
private networks,1
https,3
hyper text transfer protocol secure,1
http,7
india it,1
information,1
technology act,1
ita-2000,1
it,1
indian parliament,1
october,1
primary law,1
india,4
electronic commerce,1
crime involves,1
legal framework,1
electronic governance,1
electronic records,1
digital signatures,1
above act,1
it amendment,1
itaa-2008,1
offence penalty,1
tampering,1
computer source documents,1
imprisonment,5
hacking,4
computer system,1
"₹500,000 66f",1
acts,1
cyber terrorism,2
electronic form,1
securing,1
cyber,3
legal issues,1
distinct field,1
intellectual property,2
contract law,1
unlawful acts wherein,1
cyber-crimes,2
criminal activities,1
penal code,1
computer,2
target,1
e.g,2
unauthorized,1
trojan/virus/worm,1
email,2
email spamming,1
dos- denial,1
service attacks etc,1
real world crimes,1
ipr,2
credit,1
card frauds,1
eft,1
pornography,1
cyber stacking,1
intellectual,2
property rights,2
issues,1
exclusive right,1
his/her creation,1
certain period,1
patents,1
patent,1
specific product,1
exclusive rights,1
product design,1
legal action,2
trademarks,1
trademark,2
different sign,1
brand name,1
specific person,1
copyrights,1
copyright,1
original purpose,1
white hat,2
ethical hacker ,1
black hat,1
black,1
violates computer security,1
personal gain,1
introduction,1
web,17
www,4
web servers,2
hypertext information retrieval system,1
web pages,5
hypertext jumps,1
html,7
hypertext markup language,1
markup language,3
design web content,1
web document,1
sensitive ,1
extension .htm,1
< html > < head > ……………… < /head > < body > ……………… < /body > < /html >,1
xml,6
new tags,1
extension .xml ,1
documents form,1
tree structure,1
< root > < child > < subchild > ... .. < /subchild > < /child > < /root >,1
video etc,1
communication protocol,1
client/server,1
client occurs,1
request/response pair,1
user clicks,1
hypertext link,1
client program,1
computer uses,1
server accepts,1
domain names,2
unique numeric address,1
assigns domain names,1
dns,1
domain name,4
indianrailway.gov.in etc,1
domain name www.cbse.nic.in ,1
primary domain name  nic,1
 cbse,1
nic  www,1
wide web,1
top,1
level domains,1
generic domain names,1
commercial business ·edu,1
educational,1
institutions ·gov,1
government agencies ·mil,1
military ·net,1
organizations ·org,1
non-profit country,1
specific domain names,1
australia,1
canada,1
china,1
zealand,1
pakistan,1
japan,1
america url,1
uniform,1
resource locator,1
url,5
text string,2
network resource,3
text documents,1
downloadable files,1
// domain name /path / file name,1
network protocol identifies,1
short names,1
// ’,1
domain,1
school.com,1
resource location,1
file name,1
file nursery.htm,1
sub directory preprimary,1
directory syllabus,1
server www.school.com,1
website,1
related,1
web domain,1
multiple webpages,1
particular entity,1
software program,1
bowser interprets,1
web page,8
graphic form,1
client -server model,1
web server,8
web browsers,1
netscape navigator,1
internet explorer,1
mozilla firefox,1
stores web pages,1
client/server model,1
special programs,1
apache,1
iis,1
http protocol,1
page content,1
multiple websites,1
web content,2
electronic document,1
displays information,1
graphical form,1
downloadable data files,1
audio files,1
traversal,1
static,1
information whenever,1
static web page,2
dynamic,2
interactive web page,1
dynamic webpage,1
dynamic web page uses,1
scripting,1
javascript,1
vbscript,1
php,2
perl,1
python,1
ruby,1
asp,1
dynamic web pages,1
web pages support,1
client-side scripting,1
key press,1
keyboard action,1
such pages,2
local computer,1
vb script,1
java script,1
server-side scripting,1
page display,1
current time,1
submission forms,1
asps,1
jsp,1
new generation,1
interactive websites,1
websites uses,1
ajax,2
asynchronous javascript,1
dynamic website,1
small amount,1
entire page,1
website interactive,1
applications,1
rss,1
really simple syndication,1
 wikis,1
collaborative applications  interactive encyclopedias,1
dictionaries ,1
advanced gaming e-commerce,1
payment transactions,1
e-commerce,1
electronics,1
commerce sites,1
electronic payment,1
electronic payment refers,1
monetary transactions,1
business processing,1
paper work,1
transaction costs,1
labour cost,1
manual processing,1
business organization,1
online banking,1
online,1
electronic payment system,1
financial institution,1
financial transactions,1
financial institution 's website,1
mobile banking,1
cellular device,1
home computer,1
account balances,1
bill payment,1
atm,1
payment apps,1
mobile payment apps,2
